Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Sound Mix,title,Box Office (Gross USA),Aspect Ratio,Rerelease Date (Theaters),Release Date (DVD)
Blerta Basholli,"Valon Bajgora,Agon Uka,Yll Uka",Blerta Basholli,Zeitgeist Films,"AlbaSky Film,Ikone Studio,Alva Film,Industria Film,Black Cat Production ",,Drama,Albanian,"Nov 5, 2021, Limited","Feb 1, 2022",1h 24m,,Hive,$13.8K,,,
Inon Shampanier,"Ash Christian,Anne Clements",Natalie Shampanier,Entertainment Squad,"Cranium Entertainment,Idiot Savant Pictures",PG,"Drama,Comedy",English,"May 7, 2021, Limited","May 7, 2021",1h 50m,,Paper Spiders,,,,
"Steve J. Adams,Sean Horlor","Michael Grand,Melissa James","Steve J. Adams,Sean Horlor,Sean Horlor,Steve J. Adams",Tubi,,,"Documentary,Mystery & Thriller",English,"Oct 20, 2023, Limited","Oct 20, 2023",1h 29m,,Satan Wants You,,,,
Sudha Kongara,"Suriya,Guneet Monga","Sudha Kongara,Shalini Usha Nair",,"2D Entertainment,Sikhya Entertainment",,"Drama,Action",Tamil,,"Nov 13, 2020",2h 33m,,Soorarai Pottru,,,,
Lana Wilson,"Morgan Neville,Christine O'Malley,Caitrin Rogers",,Netflix,Tremolo Productions,,"Documentary,Music",English,"Jan 31, 2020, Limited","Jan 31, 2020",1h 26m,,Taylor Swift: Miss Americana,,,,
Guillermo Amoedo,,,,,,,,,,,,The Inhabitant,,,,
Patricia E. Gillespie,"Ethan Goldman,Danielle Franco,Amy Brown,Keayr Braxton,Nicholas Thompson",,Max,"Investigation Discovery,Anchor Entertainment",,"Documentary,Crime",English,,"Feb 8, 2024",1h 29m,,They Called Him Mostly Harmless,,,,
"Drake Doremus,Zach Horton",Summer Spooner,Lindsay Stidham,,,,Drama,English,,,22m,,Two,,,,
Takashi Miike,,,,"Media Blasters,Sega Corporation",,"Action,Crime,Drama,Mystery & Thriller",Japanese,,"Apr 17, 2020",1h 50m,,Like a Dragon,,,,
"Joseph Beyer,Jordan Anderson",,"Joseph Beyer,Jordan Anderson",Old Mission Culture Co.,Pancake Boy Productions,,"Documentary,History",English,"Mar 31, 2024, Limited","Oct 27, 2024",1h 23m,,Marqueetown,,,,
Reginald Hudlin,"Mark Ciardi,Gordon Gray",Nick Santora,,"Select Films,Walt Disney Company,Mayhem Pictures,Walt Disney Pictures",PG (Drug Addiction|Thematic Content|Some Language),"Biography,Drama",English,,"Dec 11, 2020",2h 2m,"Dolby Digital,Dolby Atmos",Safety,,,,
Abbas Kiarostami,Abbas Kiarostami,Abbas Kiarostami,Zeitgeist Films,Abbas Kiarostami Productions,,Drama,Persian,"Mar 20, 1998, Limited","Oct 15, 2020",1h 38m,,Taste of Cherry,$253.0K,35mm,,
Ryan Spindell,"Allison Friedman,T. Justin Ross,Ryan Spindell",Ryan Spindell,,"Trapdoor Pictures,AMP International",,"Horror,Fantasy",English,,"Oct 15, 2020",1h 50m,,The Mortuary Collection,,,,
"Johane Matte,Francisco Ruiz Velasco,Andrew L. Schmidt","Guillermo del Toro,Marc Guggenheim,Dan Hageman,Kevin Hageman,Chad Hammes","Marc Guggenheim,Dan Hageman,Kevin Hageman",,"Double Dare You,Netflix,DreamWorks Animation",,"Kids & Family,Adventure,Action,Fantasy,Animation",English,,"Jul 21, 2021",1h 46m,,Trollhunters: Rise of the Titans,,,,
Oz Rodriguez,Lorne Michaels,"Oz Rodriguez,Blaise Hemingway",,"Broadway Video,Caviar",PG-13 (Language|Violence|Some Suggestive References),"Comedy,Horror",English,,"Oct 2, 2020",1h 25m,,Vampires vs. The Bronx,,,,
Irving Franco,"Michael Kallner,Bennett LeBarre,Nathan Marcus,Asaf Nawi,Ari Daniel Pinchot,Oren Rogovin,Jonathan Rubenstein,Bernie Stern",Irving Franco,Nova Vento Entertainment,"Randomix Productions,Crystal City Entertainment ,Adam 1 Pictures",,Drama,English,"Feb 14, 2024, Limited","May 14, 2024",,,Adam the First,,,,
George Kane,"Morgan Bushe,James Dean","George Kane,Demian Fox,George Kane,Shane O'Brien,James Walmsley",Red Hound Entertainment,Fastnet Films,,Comedy,English,,"Jun 14, 2024",1h 38m,,Apocalypse Clown,,Digital 2.39:1,,
John Crowley,"Finola Dwyer,Amanda Posey",Nick Hornby,Fox Searchlight,"Item 7,Wildgaze Films,Parallel Films,Finola Dwyer Prods.",PG-13 (Brief Strong Language|A Scene of Sexuality),"Romance,History,Drama",British English,"Nov 25, 2015, Wide","Feb 23, 2016",1h 52m,,Brooklyn 45,$38.3M,,,
Adrian Langley,"Adrian Langley,Doug Phillips,James Huntsman",Adrian Langley,Red Hound Entertainment,Grimehouse,,"Horror,Mystery & Thriller",English,"Feb 23, 2024, Limited","Feb 29, 2024",1h 28m,,Butchers Book Two: Raghorn,,Scope (2.35:1),,
Tyler Cornack,Ryan Koch,"Ryan Koch,Tyler Cornack",,Tiny Cinema,,"Mystery & Thriller,Comedy",English,,"Apr 14, 2020",1h 39m,,Butt Boy,,,,
Derek Pike,Randy Wayne,Derek Pike,SHOUT! STUDIOS,Rebellium Films,,Mystery & Thriller,English,"Apr 5, 2024, Limited","Apr 5, 2024",1h 25m,,Model House,,,,
Takashi Doscher,"Gabrielle Pickle,Eyal Rimmon",Takashi Doscher,,Tadmor,,Mystery & Thriller,English,,"Mar 6, 2020",1h 38m,,Only,,,,
John Marco Lopez,"Julio Casado,Wes Hager,Tiffany Jackman,Jared Sichel,John Marco Lopez",John Marco Lopez,,LPZ Media,,Drama,English,"Dec 1, 2019, Limited","Nov 21, 2020",1h 27m,,Paradise City,,,,
"Henry Joost,Ariel Schulman","Jerry Bruckheimer,Chad Oman","Christopher Yost,Henry Joost,Josh Koenigsberg,Ariel Schulman",,"Jerry Bruckheimer Films,Paramount Pictures",PG (Some Rude Humor|Language|Action|Violence),"Kids & Family,Action,Adventure,Comedy,Sci-Fi",English,,"Aug 12, 2022",1h 44m,"Dolby Atmos,Dolby Digital",Secret Headquarters,,Scope (2.35:1),,
Fritz Kiersch,"Gregory S. Blackwell,Steven H. Chanin",Robert King,New World Pictures,"Chanin Blackwell Productions,New World Pictures",R,Action,English,"Apr 14, 1988, Limited","Jan 6, 2015",1h 42m,,Under the Boardwalk,$147.5K,,,
"Kleber Mendonça Filho,Juliano Dornelles","Saïd Ben Saïd,Emilie Lesclaux,Michel Merkt","Juliano Dornelles,Kleber Mendonça Filho",Kino Lorber,"Arte France Cinema,CinemaScópio Produções,SBS Films",,"Mystery & Thriller,Drama,Fantasy",Brazilian Portuguese,"Mar 6, 2020, Limited","Mar 19, 2020",2h 11m,,Bacurau,$58.1K,,,
David Lean,Noël Coward,"Noël Coward,Anthony Havelock-Allan,David Lean,Ronald Neame","United Artists,Cinema Classics,Classic Pictures Inc.","Two Cities Films Ltd.,Cineguild",,Fantasy,English,"May 14, 1945, Original","Feb 24, 2017",1h 36m,Mono,Blithe Spirit,,,,
"Adam Leader,Richard Oakes","Craig Hinde,Nadia Lamin,Gillan Williams,Neal Ward,Samantha Loxley",Adam Leader,,"Odin's Light,Dark Fable Media",,Horror,British English,,"Oct 2, 2020",1h 29m,,Hosts,,,,
Vishal Bhardwaj,Vishal Bhardwaj,"Vishal Bhardwaj,Rohan Narula",Netflix,"Netflix Studios,Vishal Bhardwaj Films",,"Crime,Drama,Mystery & Thriller",Hindi,,"Oct 5, 2023",2h 37m,,Khufiya,,,,
James Fox,,,,,,Documentary,English,,"Oct 18, 2022",1h 48m,,Moment of Contact,,,,
Juan Jesús García Galocha,"Jordi Gasull,Toni Novella","Jordi Gasull,Javier López Barreira,Ricky Roxburgh",Warner Bros. Pictures,"Warner Bros. Entertainment España,Anangu Grup,4 Cats Pictures",PG (Some Rude Material|Mild Action/Violence),"Kids & Family,Comedy,Adventure,Animation",English,"Feb 24, 2023, Limited","Apr 7, 2023",1h 28m,"Dolby Atmos,Stereo,Dolby Digital,DTS,Dolby",Mummies,$4.3M,Scope (2.35:1),,
Fraydun Manocherian,"Fraydun Manocherian,Vince P. Maggio,Fred Manocherian",Fraydun Manocherian,,Fraydun Productions,,"Romance,Comedy",English,,"Mar 9, 2021",1h 31m,,My Secret Billionaire,,,,
Stephanie Soechtig,"Ross Girard,Ross M. Dinerstein,Kristin Lazure,Rebecca Evans","Jeff Benedict,Jeff Benedict",Netflix,Campfire Studios,,Documentary,English,,"Aug 2, 2023",1h 23m,,Poisoned: The Dirty Truth About Your Food,,,,
George Miller,,,,,,,,,,,,Prey,,,,
Charlotte Colbert,"Jessica Malik,Bob Last","Kitty Percy,Charlotte Colbert",IFC Midnight,,,"Drama,Mystery & Thriller",English,"Jul 15, 2022, Limited","Jul 15, 2022",1h 35m,,She Will,,,,
Jato C. Smith,"Adrian Jules,Santrise Webb",Adrian Jules,,,,Comedy,English,,"Nov 24, 2020",13m,,Taboo 2,,,,
Andrew Traucki,"Jack Christian,Neal Kingston,Michael Robertson,Andrew Traucki",Andrew Traucki,RLJE Films,"Truth or Dare,Mysterious Light,Thrills & Spills,Cornerstone Pictures,Filmology Finance,ProdigyMovies",,"Mystery & Thriller,Drama",English,"Jul 29, 2022, Limited","Jul 29, 2022",1h 33m,,The Reef: Stalked,,,,
"Michael Powell,Emeric Pressburger","Michael Powell,Emeric Pressburger","Michael Powell,Emeric Pressburger","Universal Pictures,Columbia TriStar Home Video",The Archers,PG,"Fantasy,Drama",English,"Nov 1, 1946, Original","Jun 25, 2020",1h 44m,Mono,A Matter of Life and Death,,,,
Dzintars Dreibergs,,,Film Movement,,,"War,History,Drama",Latvian,"Jan 8, 2021, Limited","Mar 29, 2021",1h 44m,,Blizzard of Souls,,,,
Barry Levinson,"Barry Levinson,Michael Crichton",Paul Attanasio,,"Warner Bros.,Constant c Productions,Baltimore Pictures",R,Mystery & Thriller,English,,"Jan 1, 2008",2h 7m,"Surround,Stereo",Disclosure,$81.3M,,,
John Swab,"Robert Ogden Barnum,Jeremy M. Rosen,John Swab",John Swab,Paramount Pictures,"Roxwell Films,Three Point Capital",,Drama,English,"Feb 3, 2023, Limited","Feb 3, 2023",1h 20m,,Little Dixie,,,,
Gregg Araki,"Henry Winterstern,Kevin Turen,Steve Golin,Alix Madigan,Gregg Araki",Dylan Haggerty,First Look,"Anonymous Content,First Look Media",R (Some Sexual Material|Language|Drug Content),Comedy,English,"Nov 16, 2007, Limited","Aug 14, 2020",1h 24m,Dolby Digital,Smiley Face,$8.8K,,,
Cédric Klapisch,"Cédric Klapisch,Bruno Lévy","Cédric Klapisch,Santiago Amigorena",,"Ce Qui Me Meut,France 2 Cinema,Studio Canal",,"Romance,Comedy,Drama",French (France),,"Oct 6, 2020",1h 50m,,"Someone, Somewhere",,,,
Landon Van Soest,"Josh Braun,Ben Braun,Dan Braun,Landon Van Soest",,Hulu,,,"Documentary,Crime",English,,"Jul 13, 2023",1h 40m,,The Jewel Thief,,,,
Leah Purcell,"David Jowsey,Angela Littlejohn,Greer Simpkin,Bain Stewart,Leah Purcell","Leah Purcell,Leah Purcell",Samuel Goldwyn Films,"Bunya Productions,Doco Digital,Oombarra Productions",,"Drama,Western",Australian English,"Aug 19, 2022, Limited","Aug 19, 2022",1h 49m,,The Legend of Molly Johnson,,,,
Michael Mailer,Andrew Stevens,"Timothy Holland,Michael Mailer",Lionsgate,"Three Lines Pictures,Andrew Stevens Entertainment,Milestone Studios,Eyevox Entertainment",R (Some Violence and Language),Mystery & Thriller,English,"Nov 4, 2022, Limited","Nov 4, 2022",1h 30m,,The Minute You Wake Up Dead,,,,
Polly Steele,George Chignell,,Universal Pictures,Dog Star Films,,Documentary,British English,,"Aug 20, 2024",2h 0m,,The Mountain Within Me,,,,
Carles Torras,"Carles Torras,Miguel Ruz","David Desola,Hèctor Hernández Vicens,Carles Torras",,"Netflix,Babieka",,"Mystery & Thriller,Drama",European Spanish,,"Sep 16, 2020",1h 34m,,The Paramedic,,,,
Tom Dey,"Ryan M. Murphy,Swati Shetty",Shiwani Srivastava,,"Imagine Entertainment,Samosa Stories,Jax Media",,"Romance,Comedy",English,,"Aug 4, 2022",1h 37m,Dolby Digital,Wedding Season,,,,
Shannon Murphy,Alex White,Rita Kalnejais,,"Screen Australia,Whitefalk Films,Create NSW",,"Comedy,Drama",Australian English,,"Jun 18, 2020",1h 57m,Dolby Digital,Babyteeth,$4.3K,,,
Shawn Levy,"Robert Simonds,Michael Barnathan,Ben Myron","Sam Harper,Joel Cohen,Alec Sokolow",20th Century Fox,"Robert Simonds Productions,20th Century Fox",PG (Thematic Elements|Language),Comedy,English,"Dec 25, 2003, Wide","Mar 1, 2013",1h 38m,"Surround,Dolby Stereo,DTS",Cheaper by the Dozen,$138.6M,,,
Peter Nizic,Johnny Lahoud,Johnny Lahoud,,Militant Funktion,TV-MA,Drama,Australian English,,,19m,,Falling,,,,
John Lee,"Ilana Glazer,John Lee,Jonathan Wang","Ilana Glazer,John Lee",,A24,R (Language|Graphic Nudity|Disturbing/Bloody Images|Sexual Content),"Horror,Mystery & Thriller",English,,"Jun 25, 2021",1h 32m,,False Positive,,,,
Darin J. Sallam,"Deema Azar,Ayah Jardaneh",Darin J. Sallam,,,,Drama,Arabic,,"Dec 1, 2022",1h 32m,,Farha,,,,
Darryl Anka,"Darryl Anka,Erica Jordan,April Rochelle",Darryl Anka,,Zia Films,,Documentary,English,"Sep 16, 2016, Limited","Apr 28, 2019",1h 35m,,First Contact,,,,
Dolly Wells,"Jamie Adams,Maggie Monteith",Dolly Wells,,"Dignity Film Finance,Nefarious Industries,Talland Films",,"Comedy,Drama",English,"Apr 10, 2020, Limited","Jun 15, 2020",1h 31m,,Good Posture,,,,
Jeff Lew,Jeff Lew,Jeff Lew,,Killer Bean Studios ,,"Action,Animation",English,,"Dec 18, 2020",1h 25m,,Killer Bean Forever,,,,
Suzanne Hillinger,"Nicki Carrico,Suzanne Hillinger",,Netflix,,TV-MA,Documentary,English,,"Mar 15, 2023",1h 33m,,Money Shot: The Pornhub Story,,,,
Mali Elfman,"Derek Bishe,Narineh Hacopian",Mali Elfman,Magnet Releasing,"Helmstreet Productions,No Traffic For Ghosts",,Sci-Fi,English,"Nov 4, 2022, Limited","Nov 4, 2022",1h 46m,,Next Exit,$4.7K,,,
Eline Gehring,,"Eline Gehring,Sara Fazilat,Francy Fabritz",,Deutsche Film & Fernsehakademie Berlin,,Drama,German,,,1h 15m,,Nico,,,,
"Steven Kanter,Henry Loevner","Lovell Holder,Steven Kanter,Henry Loevner,Claudia Restrepo","Steven Kanter,Henry Loevner",Saban Films,Buzzfeed Studios,R (Language and Sexual References),"Romance,Comedy,Drama",English,"Dec 3, 2021, Limited","Dec 7, 2021",1h 32m,,The End Of Us,,,,
Brian Gilbert,"Marc Samuelson,Peter Samuelson,Pippa Cross",Anthony Horowitz,,"Granada Film Productions,Samuelson Productions",R (Violence|Language),"Mystery & Thriller,Horror",English,,"Jun 29, 2021",1h 32m,Surround,The Gathering,,,,
"Tia Lessin,Emma Pildes","Emma Pildes,Jessica Levin,Daniel Arcana",,,"HBO Documentary Films,Pentimento Productions",,"Documentary,History",English,,"Jun 8, 2022",1h 41m,,The Janes,,,,
Diego Lerman,"Nicolás Avruj,Diego Lerman","Diego Lerman,Adrián Biniez",Netflix,,,"Drama,Comedy",Spanish,,"Oct 18, 2024",1h 47m,,The Man Who Loved UFOs,,,,
Trish Sie,"Mickey Liddell,Pete Shilaimon",Sarah Rothschild,,LD Entertainment,,"Action,Adventure,Comedy",English,,"Aug 22, 2020",1h 40m,,The Sleepover,,,,
Nick Broomfield,"Nick Broomfield,Shani Hinton,Marc Hoeferlin,Kyle Gibbon",,Magnolia Pictures,Lafayette Film,,"Documentary,Music",English,"Nov 7, 2023, Limited","Nov 17, 2023",1h 32m,,The Stones and Brian Jones,$57.7K,,,
Martin O'Brien,"Martin O'Brien,Mike Koeppel",,Gravitas Ventures,Mofilms,,"Documentary,Music",English,,"Oct 15, 2024",1h 29m,,Between the Beats,,,,
Jason Orley,"Jeremy Garelick,Mickey Liddell,Mason Novick,Will Phelps,Pete Shilaimon,Glen Trotiner",Jason Orley,Neon,LD Entertainment,R (Drug Content|Alcohol Use|Pervasive Language|Sexual References),Comedy,English,"Mar 13, 2020, Limited","Mar 13, 2020",1h 30m,,Big Time Adolescence,,,,
Son Tae-ung,"Choe Yong-bae,Kim Young-ho,Lee Jin-suk",,,Egg Films,,Horror,Korean,,"Jul 23, 2020",1h 51m,,Cadaver,,,,
Len Kowalewich,,,,,,Mystery & Thriller,English,,,1h 32m,,Dead Wrong,,,,
Nathan Leon,"Levi Anderson,Meghan Leigh Leon,Nathan Leon",Nathan Leon,Bridgestone Multimedia Group,Visionary Film Productions,,"Drama,Sports",English,,"Oct 15, 2024",,,Grace by Night,,,,
María Pérez Sanz,"Ignacio Salazar-Simpson,Bárbara Gut","María Pérez Sanz,Carlos Egea",,,,"Biography,Drama",European Spanish,,,1h 5m,,Karen,,,,
Laura Haim,,,,"Troisième Oeil Productions,Arte",,Documentary,English,,"Jan 8, 2021",1h 0m,,Looking for Melania Trump,,,,
Charlie Lightening,Amy James,,Trafalgar Releasing,"78 Productions,Trafalgar Releasing",,"Documentary,Music",English,"Mar 22, 2023, Limited","Oct 4, 2023",1h 48m,,Louis Tomlinson: All of Those Voices,,,,
Gaurav Seth,"Bev Bliss,Jason Ross Jallet",Doug Taylor,Saban Films,"Always a Pleasure Films,Doco Digital,Moving Story 2 Film",R,"Sci-Fi,Mystery & Thriller",English,"Nov 12, 2021, Limited","Nov 16, 2021",1h 30m,,Multiverse,,Scope (2.35:1),,
Page Hurwitz,"Colin Devenish,Lisa Singer Haese,Sharon Houston",Page Hurwitz,Netflix,"Push It Productions,Brian Graden Media",,"Documentary,LGBTQ+,Comedy",English,,"Jun 18, 2024",1h 40m,,Outstanding: A Comedy Revolution,,,,
Jason Nave,"Jason Nave,Nancy Nave",Jason Nave,,Chew Angry Productions,,Comedy,English,"Apr 18, 2020, Limited","Nov 27, 2020",30m,,Rematch,,,,
Ron Frank,,Glenn Kirschbaum,Kino Lorber,Health Point Productions,,"Documentary,Biography",English,"Mar 15, 2024, Limited","Apr 30, 2024",1h 32m,,Remembering Gene Wilder,$166.2K,,,
Sam Newfield,,,,,,Western,English,"Aug 25, 1943, Original",,58m,,Renegades,,,,
Lew Landers,,,,,,Drama,English,"Oct 22, 1935, Original",,1h 7m,,Stormy,,,,
Angel Nieves,Angel Nieves,Angel Nieves,,Snow Motion Films,,Horror,English,,,18m,,The Fear,,,,
Jimmy Tatro,Michael Schreiber,"Jimmy Tatro,Christian A. Pierce",The Roku Channel,Studio71,,Comedy,English,,"Jul 5, 2024",2h 0m,,The Real Bros of Simi Valley: The Movie,,,,
Romola Garai,"Maggie Monteith,Matthew James Wilkinson",Romola Garai,Magnet Releasing,"Trigger Films,Head Gear Films,Metrol Technology,Kreo Films FZ",R (Bloody Images|A Sexual Assault|Brief Language|Nudity|Some Strong Violence),"Horror,Mystery & Thriller",British English,"Jul 24, 2020, Limited","Jul 23, 2020",1h 39m,,Amulet,,,,
Rel Dowdell,Alain Silver,"Rel Dowdell,Aaron R. Astillero",,"Philly First Entetainment,Pendragon Film",R (Some Drug Content|Language Throughout|Sexuality|Nudity|Violence),Action,English,"May 11, 2012, Original","Nov 30, 2016",1h 43m,,Changing the Game,,,,
Stavros Kazantzidis,,,,,,,,,,,,Horseplay,,,,
"Eric Axelman,Sam Eilertsen","Eric Axelman,Daniel J. Chalfen,Nadia Saah","Eric Axelman,Sam Eilertsen",Watermelon Pictures,Tikkun Olam Productions,,Documentary,English,,"Jun 7, 2024",1h 24m,,Israelism,,,,
Reinaldo Marcus Green,"Daniela Taplin Lundberg,Riva Marker,Eva Maria Daniels,Cary Joji Fukunaga,Ryan Ahrens,Mark Wahlberg,Stephen Levinson","Diana Ossana,Larry McMurtry",Roadside Attractions,"Nine Stories Productions,VisionChaos Productions,Endeavor Content,Parliament of Owls,Solstice Studios,Closest to the Hole Productions,Rhea Films,Argent Pictures,Hercules Films Ltd.,Stay Gold Features,Leverage Entertainment",R (Teen Partying|Some Disturbing Material|Language|Offensive Slurs),"Drama,LGBTQ+",English,"Jul 23, 2021, Wide","Aug 10, 2021",1h 34m,,Joe Bell,$1.4M,,,
Adam Marcus,Kipp Marcus,Kipp Marcus,Artistic License,"Girl & Boy Productions,Marcus Bros.",R,"Romance,Comedy",English,"Jun 8, 2001, Wide","Dec 27, 2020",1h 30m,"Dolby SR,Dolby Digital,Dolby A,Dolby Stereo",Let It Snow,$20.6K,Flat (1.85:1),,
Rhiannon Bannenberg,Steve Jaggi,Claire J. Harris,,"Blue Fox Entertainment,Asia Pacific Film Investment Group (APFIG),Screen Queensland,Empire Media Global,The Steve Jaggi Company",PG,"Holiday,Romance,Drama",Australian English,,"Dec 1, 2022",1h 20m,,Mistletoe Ranch,,,,
Anna Gutto,"Georgia Bayliff,Claudia Bluemhuber,Anna Gutto,Michael Leahy",Anna Gutto,Lionsgate,"Praesens-Film,ZDF Enterprises,Silver Reel",R (Some Violence|Language Throughout),"Mystery & Thriller,Crime,Drama",English,"Jul 29, 2022, Limited","Jul 29, 2022",1h 55m,,Paradise Highway,,,,
Jayprad Desai,"Bhushan Kumar,Krishan Kumar,Aanand L. Rai,Himanshu Sharma","Kanika Dhillon,Kanika Dhillon",Netflix,"Colour Yellow Productions,T-Series Films,T-Series",,"Crime,Drama,Mystery & Thriller,Romance",Hindi,,"Aug 9, 2024",2h 12m,,Phir Aayi Hasseen Dillruba,,,,
Lino DiSalvo,"Aton Soumache,Dimitri Rassam,Alexis Vonarb,Axel Von Maydell,Moritz Borman,Timothy Burrill,Bin Wu","Blaise Hemingway,Greg Erb,Jason Oremland",STX Films,"DMG Entertainment,Morgen Studios,ON Animation Studios,Wild Bunch,M6 Films,STX Entertainment,Dickhouse Productions",PG (Some Language|Action/Peril),"Kids & Family,Comedy,Adventure,Animation",English,"Dec 6, 2019, Wide","Mar 3, 2020",1h 39m,Dolby Digital,Playmobil: The Movie,$1.1M,Scope (2.35:1),,
Lena Dunham,"Lena Dunham,Michael P. Cohen,Kevin Turen,Katia Washington",Lena Dunham,Utopia,"FilmNation Entertainment,Good Thing Going",R (Some Nudity|Language Throughout|Drug Use|Strong Sexual Content),Comedy,English,"Jul 29, 2022, Limited","Aug 16, 2022",1h 26m,,Sharp Stick,,,,
"Gerardo Gatica González,Luis Gerardo Méndez","Gerardo Gatica González,Pablo Zimbrón",,Netflix,Panorama,,Comedy,Spanish,,"Sep 11, 2024",1h 49m,,Technoboys,,,,
"Cristina Ibarra,Alex Rivera","Daniel J. Chalfen,Darren Dean,Cristina Ibarra",Cristina Ibarra,,"Chicago Media Project,Naked Edge Films",,Drama,English,,"May 29, 2020",1h 35m,,The Infiltrators,,,,
Lisa France,"Luis Moro,Lisa France,Phillip Bloch",Lisa France,,,,Drama,English,,,1h 39m,,Unseen,,,,"Mar 18, 2008"
Simarpreet Singh,"Ankur Garg,Luv Ranjan","Sandeep Jain,Harman Wadala",Netflix,"Luv Films,T-Series",,"Romance,Comedy",Hindi,,"Jul 10, 2024",1h 49m,,Wild Wild Punjab,,,,
Abbas Fahdel,Abbas Fahdel,Abbas Fahdel,,Stalker Production,,"Drama,Romance",Arabic,,,1h 41m,,Yara,,,,
"Sarah Watts,Mark Slutsky",Robert Vroom,"Mark Slutsky,Sarah Watts",Good Deed Entertainment,Prospector Films,,"Drama,LGBTQ+",Canadian French,"May 5, 2023, Limited","May 5, 2023",1h 36m,,You Can Live Forever,,,,
"Emmanuel Marre,Julie Lecoustre","François-Pierre Clavel,Benoit Roland","Emmanuel Marre,Julie Lecoustre",,,,"Comedy,Drama",English,,"Mar 30, 2022",1h 50m,,Zero Fucks Given,,,,
Louis Malle,,Louis Malle,,"NEF Filmproduktion,Nouvelles Éditions de Films (NEF),Stella Film,MK2 Productions",PG,Drama,French (France),"Oct 7, 1987, Original","Oct 15, 2020",1h 44m,Surround,"Au Revoir, les enfants",,,,
Josef Kubota Wladyka,"Mollye Asher,Kimberly Parker,Josef Kubota Wladyka","Josef Kubota Wladyka,Kali Reis",IFC Films,"The Population,Heretical Reason Productions,Protozoa Pictures",,"Mystery & Thriller,Drama",English,"Feb 11, 2022, Limited","Feb 11, 2022",1h 26m,,Catch the Fair One,$34.4K,,,
"Chiara Malta,Sébastien Laudenbach","Marc Irmer,Emmanuel-Alain Raynal,Pierre Baussaron","Chiara Malta,Sébastien Laudenbach",GKIDS,"Dolce Vita Films,Palosanto Films,Miyu Productions",,"Comedy,Drama,Animation",French (France),"Apr 5, 2024, Limited","Jul 2, 2024",1h 16m,,Chicken for Linda!,,,,
Albert Shin,"Fraser Ash,Kevin Krikst","James Schultz,Albert Shin",IFC Midnight,Rhombus Media,,"Drama,Mystery & Thriller",English,"Feb 28, 2020, Limited","Feb 28, 2020",1h 40m,,Disappearance at Clifton Hill,$23.7K,,,
